tango,subname,dd,field
ABC分析　,,重要度や優先度の高い要素・項目を明らかにするために行われる分析手法。パレート図を使って分析する要素・項目群を大きい順に並べ、上位70%を占める要素群をA、70%〜90%の要素群をB、それ以外の要素群をCとしてグルーピングすることで重点的に管理すべきグループがどれであるかを明らかにすることができる。,IPFEAPストラテジ系
ACID　,,データベースのトランザクション処理を行う上で必要不可欠とされる4つの性質(Atomicity・Consistency・Isolation・Durability)の頭文字を並べた言葉。各性質の意味は以下の通りAtomicity：原子性トランザクション内の処理がすべて実行されるか、または全く実行されないことを保証する性質。Consistency：一貫性トランザクションによりデータの矛盾が生じないこと。常にデータベースの整合性が保たれていることを保証する性質。Isolation：独立性複数のトランザクションを同時に実行した場合と、順番に実行した場合の結果が等しくなることを保証する性質。一般にロックなどをかけることで直列可能性を保証する。隔離性と呼ばれる場合もある。Durability：永続性一旦正常終了したトランザクションの結果は、以後システムに障害が発生しても失われないことを保証する性質。耐久性と呼ばれる場合もある。,FEAPテクノロジ系
ADSL　,Asymmetric Digital Subscriber Line,一般家庭に普及しているアナログ電話回線をそのまま利用し、それまでに使用されていなかった周波数帯域を利用することでディジタル通信を行う伝送方式。「下り」(通信業者から利用者へ)と「上り」(利用者から通信業者へ)の通信速度が異なるため非対称ディジタル加入者線とも呼ばれる。,IPFEAPテクノロジ系
AES　,Advanced Encryption Standard,アメリカ合衆国の次世代暗号方式として規格化された共通鍵暗号方式。ブロック長は128ビット，使用する鍵の長さは128/192/256ビットから選択が可能となっている。,FEAPテクノロジ系
ANSI　,American National Standards Institute,アメリカ合衆国の工業的な分野の標準化組織であり公の合意形成のために、さまざまな規格開発をおこなう団体。,IPFEAPストラテジ系
API　,Application Programming Interface,アプリケーションに共通の標準化されたインターフェイスを提供するためにOSなどが提供するライブラリ,FEAPテクノロジ系
APOP　,Authenticated Post Office Protocol,メールサーバとメーラーのユーザ認証を暗号化して行うことで、認証情報がネットワーク中を平文で流れるのを防ぐPOP3のオプション機能。,IPFEAPテクノロジ系
ARP　,Address Resolution Protocol,IPアドレスから対応する機器のMACアドレスを取得するプロトコル。,IPFEAPテクノロジ系
ASP　,Application Service Provider,主に業務用のアプリケーションをインターネットを通じて顧客にレンタルするサービス形態又はその事業者のことをいう。サービス利用側には、購入や新規開発よりもコストを低く抑えることができることやシステム管理の負担が少なくなるというメリットがある。,IPFEAPストラテジ系
ATA　,Advanced Technology Attachment,コンピュータとハードディスク間を接続するためのインターフェイス規格。,IPFEAPテクノロジ系
ATM　,Automatic teller machine,金融機関に設置されている現金自動預け払い機のこと。組込みシステムの具体例として用語が追加されている。,IPストラテジ系
ATM　,Asynchronous Transfer Mode,高速通信を可能とするために送信するデータを48バイトのペイロード部に5バイトのヘッダ情報を付けた合計53バイトの固定セルに分割してデータをやり取りする交換方式。,APテクノロジ系
Ajax　,エイジャックス、アジャックス,Asynchronous JavaScript＋XMLの略で、JavaScriptがもつ非同期通信機能を用いてインターフェイスの構築などをウェブブラウザ内で行う技術の総称。Webブラウザのみで動作することが特徴で、非同期通信でサーバからデータを取得し、そのデータの内容によってダイナミックHTMLで画面を動的に書き換えることで画面遷移を伴わない動的なWebアプリケーションを実現している。Ajaxを使用した有名なサービスにGoogleMapやGmailがある。,FEAPテクノロジ系
Apache　,アパッチ,現在世界中で最も使われているオープンソースのWebサーバソフトウェア。開発は、Apacheソフトウェア財団のApache HTTPサーバプロジェクトで行われていて、Apache Licenseの下でソースコードが公開および配布されている。,APテクノロジ系
