BASE64　,,"日本語の""2バイトコード""やバイナリデータを64個の英数字の組合せにエンコードする方式。本来日本語が使用できないSMTPにおいて日本語や添付ファイルを送信する際に利用されている。",FEAPテクノロジ系,
BBS　,Bulletin Board System,コンピュータネットワークを使用した環境で、記事を書き込んだり、閲覧したり、コメント（レス）を付けられるようにした仕組み。いわゆる電子掲示板のことである。,IPFEAPテクノロジ系,
BCM　,Business Continuity Management,事業継続管理。企業が事業を継続するためにBCPを策定し、その運用や見直し、または教育や訓練などを包括的に行う経営管理手法のこと。,IPFEAPストラテジ系,
BCP　,Business Continuity Plan,事業継続計画。予期せぬ災害が発生した場合に、最低限の事業を継続し、または早期に復旧・再開できるようにする企業が定めた行動計画のこと。,IPFEAPストラテジ系,
BIND　,バインド,バインドと読む。インターネットの世界で最も使われているオープンソースのDNSサーバ。,APテクノロジ系,
BIツール　,Business Intelligence Tool,データウェアハウスなどに蓄積された大量のデータを分析するのに使われるソフトウェア。,IPFEAPストラテジ系,
BMP　,Bitmap,古くからWindowsが標準でサポートしている画像ファイル形式。画像をピクセルごとのRGB値やパレットカラーなどで表現する。,IPテクノロジ系,
BOOTP　,Bootstrap Protocol,ネットワークに接続されたクライアントが、IPアドレスやホスト名、サブネットマスク等を自動的に取得するためのプロトコル。DHCPより前に開発されたが、DHCPの登場により使用される機会は少なくなってきている。,FEテクノロジ系,
BPM　,Business Process Management,BPRのように一回限りの革命的な変化でなく、組織が繰り返し行う日々の業務のなかで継続的にビジネスプロセスの発展を目指していくための技術・手法。ビジネスプロセス管理は設計、実行、監視の活動に分けられている。,IPFEAPストラテジ系,
BPO　,Business Process Outsourcing,業務効率の向上，業務コストの削減を目的に，業務プロセスを対象としてアウトソースを実施すること。,IPFEAPストラテジ系,
BPR　,Business Process Reengineering,既存の組織やビジネスルールを抜本的に見直し，職務，業務フロー，管理機構，情報システムを再設計する手法、または組織構造や情報システムを首尾一貫したビジネスプロセスへ再統合し、効率や生産性を劇的な改善を目指すこと。,IPFEAPストラテジ系,
BSC　,Balanced Score Card,企業のビジョンと戦略を実現するために、「財務」「顧客」「内部ビジネスプロセス」「学習と成果」という4つの視点から業績を評価・分析する手法。バランススコアカードのプロセスである各視点については以下の通り。財務の視点株主や従業員などの利害関係者の期待にこたえるため、企業業績として財務的に成功するためにどのように行動すべきかの指標を設定する。顧客の視点企業のビジョンを達成するために、顧客に対してどのように行動すべきかの指標を設定する。内部ビジネスプロセスの視点財務的目標の達成や顧客満足度を向上させるために、優れた業務プロセスを構築するための指標を設定する。学習と成長の視点企業のビジョンを達成するために組織や個人として、どのように変化（改善）し能力向上を図るかの指標を設定する。,IPFEAPストラテジ系,
BTO　,Build to Order,顧客の注文を受けてから製品を製造するいわゆる受注生産方式。顧客ごとの細かなオーダーに対応可能なことや、見込み生産を行わないので余剰在庫を抱えるリスクを低減できる利点がある。特に自動車や組立てパソコンの製造販売で関わることの多い生産方式。,IPストラテジ系,
Blu-ray Disc　,,データの読み書きに青紫色のレーザーを用いる光ディスクの1つ。片面一層のディスクで25GBのデータを記録することができ、多層化することでさらなる容量拡張が進んでいて、すでに4層で100GBのディスク構造が開発済みとなっている。(DVDは片面一層で4.7GBの容量),IPFEAPテクノロジ系,
Bluetooth　,ブルートゥース,免許申請や使用登録の不要な2.4GHz帯の電波を用いて、数mから100m程度の距離の情報機器間で、電波を使い最大24Mbpsの無線通信を行う規格。パソコン周辺機器の接続，ゲーム機，ハンズフリー通話，ヘッドフォンなどに幅広く普及してきている。,IPFEAPテクノロジ系,
